index,CAS,smiles,Mapped SMILES,Reactivity,Oxidation Site,Oxidation Site (one hot)
0,493-05-0,c1ccc2c(c1)CCOC2,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH2:7][CH2:8][O:9][CH2:10]2,1,"8,10","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
1,86-73-7,c1ccc2c(c1)Cc1ccccc1-2,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1-2,1,7,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
2,119-64-2,c1ccc2c(c1)CCCC2,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH2:7][CH2:8][CH2:9][CH2:10]2,1,"7,10","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
3,100-41-4,CCc1ccccc1,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,1,"1,2","[1, 1, 0, 0, 0, 0, 0, 0]"
4,110-83-8,C1=CCCCC1,[CH:1]1=[CH:2][CH2:3][CH2:4][CH2:5][CH2:6]1,1,"3,6","[0, 0, 1, 0, 0, 1]"
5,110-01-0,C1CCSC1,[CH2:1]1[CH2:2][CH2:3][S:4][CH2:5]1,1,"3,5","[0, 0, 1, 0, 1]"
6,872-50-4,CN1CCCC1=O,[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][C:6]1=[O:7],1,3,"[0, 0, 1, 0, 0, 0, 0]"
7,538-86-3,COCc1ccccc1,[CH3:1][O:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,1,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
8,20138-24-3,CCCCN1Cc2ccccc2C1,[CH3:1][CH2:2][CH2:3][CH2:4][N:5]1[CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[CH2:13]1,1,"6,13","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
9,103-65-1,CCCc1ccccc1,[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,1,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
10,54384-75-7,CCCCCCCCOCc1ccc(OC)cc1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][O:9][CH2:10][c:11]1[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][cH:18]1,1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
11,122-73-6,CC(C)CCOCc1ccccc1,[CH3:1][CH:2]([CH3:3])[CH2:4][CH2:5][O:6][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,1,7,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
12,591-49-1,CC1=CCCCC1,[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][CH2:6][CH2:7]1,1,"4,7","[0, 0, 0, 1, 0, 0, 1]"
13,1674-10-8,CC1=C(C)CCCC1,[CH3:1][C:2]1=[C:3]([CH3:4])[CH2:5][CH2:6][CH2:7][CH2:8]1,1,"5,8","[0, 0, 0, 0, 1, 0, 0, 1]"
14,142-29-0,C1=CCCC1,[CH:1]1=[CH:2][CH2:3][CH2:4][CH2:5]1,1,"3,5","[0, 0, 1, 0, 1]"
15,111-66-0,C=CCCCCCC,[CH2:1]=[CH:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8],1,3,"[0, 0, 1, 0, 0, 0, 0, 0]"
16,1122-20-9,CC1=C(C)C(=O)CCC1,[CH3:1][C:2]1=[C:3]([CH3:4])[C:5](=[O:6])[CH2:7][CH2:8][CH2:9]1,1,9,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
17,18172-67-3,C=C1CCC2CC1C2(C)C,[CH2:1]=[C:2]1[CH2:3][CH2:4][CH:5]2[CH2:6][CH:7]1[C:8]2([CH3:9])[CH3:10],1,7,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
18,2687-91-4,CCN1CCCC1=O,[CH3:1][CH2:2][N:3]1[CH2:4][CH2:5][CH2:6][C:7]1=[O:8],1,"2,4","[0, 1, 0, 1, 0, 0, 0, 0]"
19,4030-18-6,CC(=O)N1CCCC1,[CH3:1][C:2](=[O:3])[N:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1,1,"5,8","[0, 0, 0, 0, 1, 0, 0, 1]"
20,685-91-6,CCN(CC)C(C)=O,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6]([CH3:7])=[O:8],1,"2,4","[0, 1, 0, 1, 0, 0, 0, 0]"
