HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,mulliken_dipole_tot,mulliken_quadrupoles
0.44831,0.45484,0.53763,0.54293,0.39856,0.40509,0.48788,0.49318,0.38114,0.38767,0.47046,0.47576,0.37465,0.38118,0.46397,0.46927,1.0967,5.139306355271432
0.39469,0.41676,0.43825,0.47299,0.36099,0.38306,0.40455,0.43929,0.35,0.37207,0.39356,0.4283,0.31994,0.34201,0.3635,0.39824,0.5465,9.205300000181056
0.45667,0.46321,0.53169,0.54862,0.45171,0.45825,0.52673,0.54366,0.38193,0.38847,0.4569499999999999,0.4738799999999999,0.37325,0.37979,0.44827,0.4652,0.6777,4.277516486623206
0.4757,0.47654,0.55137,0.56996,0.47469,0.47553,0.55036,0.5689500000000001,0.39238,0.39322,0.46805,0.48664,0.38272,0.38356,0.45839,0.47698,0.3705,4.745110287443275
0.50174,0.54061,0.57465,0.5811,0.49282,0.53169,0.56573,0.57218,0.47996,0.51883,0.55287,0.55932,0.41553,0.4544,0.48844,0.49489,0.2787,1.3956230579923792
0.55558,0.55761,0.58852,0.6053000000000001,0.54181,0.54384,0.57475,0.59153,0.50456,0.50659,0.5375,0.55428,0.41348,0.41551,0.44642,0.4632,2.0545,3.335701179662231
0.5505800000000001,0.56913,0.59935,0.6034200000000001,0.52403,0.5425800000000001,0.5728,0.57687,0.43693,0.45548,0.4857,0.48977,0.4255299999999999,0.44408,0.4742999999999999,0.4783699999999999,3.7805,4.026902900907015
0.45353,0.4558299999999999,0.53803,0.54835,0.40303,0.4053299999999999,0.48753,0.49785,0.39066,0.39296,0.47516,0.48548,0.3826,0.3848999999999999,0.4670999999999999,0.4774199999999999,1.1251,3.1982871415806304
0.46085,0.46921,0.53691,0.5492900000000001,0.3867199999999999,0.39508,0.4627799999999999,0.4751599999999999,0.3786199999999999,0.38698,0.45468,0.46706,0.34324,0.3516,0.4193,0.43168,0.5976,5.711449246323855
0.47305,0.47407,0.54619,0.55965,0.46934,0.47036,0.54248,0.55594,0.39227,0.39329,0.46541,0.47887,0.38213,0.38315,0.45527,0.46873,0.3999,4.424881721959733
0.4524,0.46691,0.51998,0.52651,0.41006,0.42457,0.47764,0.48417,0.39187,0.4063799999999999,0.4594499999999999,0.4659799999999999,0.35277,0.36728,0.42035,0.42688,0.9375,7.209245745568672
0.44168,0.4454,0.52041,0.5315300000000001,0.39818,0.4019,0.47691,0.4880299999999999,0.38887,0.39259,0.4676,0.47872,0.3812399999999999,0.3849599999999999,0.45997,0.47109,1.0157,2.6190511055214887
0.50217,0.53854,0.56203,0.57524,0.49298,0.52935,0.55284,0.56605,0.47977,0.51614,0.53963,0.55284,0.40637,0.44274,0.46623,0.47944,0.2532,1.1343606745651933
0.50146,0.53588,0.55682,0.55848,0.49202,0.52644,0.54738,0.54904,0.47505,0.50947,0.53041,0.53207,0.39739,0.43181,0.45275,0.45441,0.0129,1.106211920625218
0.5247299999999999,0.57013,0.60047,0.61598,0.51749,0.56289,0.59323,0.6087400000000001,0.51734,0.56274,0.59308,0.60859,0.41375,0.45915,0.48949,0.505,0.1938,1.1336427273763694
0.4968,0.54297,0.55691,0.56138,0.48934,0.53551,0.54945,0.55392,0.4853699999999999,0.53154,0.54548,0.5499499999999999,0.42644,0.47261,0.48655,0.49102,0.4342,1.9234313331474384
0.44461,0.53861,0.55391,0.571,0.43721,0.5312100000000001,0.54651,0.5636,0.35081,0.44481,0.46011,0.4771999999999999,0.3462,0.4402,0.4555,0.4725899999999999,3.7935,1.5643629544748665
0.47296,0.50701,0.5301899999999999,0.54604,0.46514,0.49919,0.52237,0.53822,0.4517899999999999,0.4858399999999999,0.50902,0.52487,0.40642,0.44047,0.46365,0.4795,0.6506,0.5103673317653995
0.53461,0.5529,0.57534,0.58611,0.5224,0.54069,0.56313,0.5739,0.43592,0.45421,0.47665,0.4874199999999999,0.42374,0.44203,0.46447,0.47524,3.7389,6.9254435506567615
0.5401400000000001,0.55208,0.58375,0.58518,0.52501,0.53695,0.56862,0.57005,0.4316399999999999,0.44358,0.4752499999999999,0.47668,0.42068,0.43262,0.46429,0.46572,4.0687,1.9433701277248585
0.5408499999999999,0.55651,0.58186,0.5925499999999999,0.5268,0.54246,0.56781,0.5785,0.43318,0.44884,0.47419,0.48488,0.42135,0.43701,0.46236,0.4730499999999999,3.7421,3.6312021526394447
0.39391,0.39864,0.44308,0.46789,0.38896,0.39369,0.4381299999999999,0.46294,0.37982,0.38455,0.42899,0.4538,0.3721,0.37683,0.42127,0.44608,3.6158,3.717859369762839
0.38006,0.40067,0.46547,0.47011,0.37313,0.39374,0.45854,0.46318,0.3583,0.37891,0.44371,0.44835,0.35315,0.37376,0.43856,0.4432,3.7857,9.83367073511548
0.386,0.40352,0.46263,0.47729,0.3755,0.39302,0.45213,0.46679,0.36112,0.37864,0.43775,0.45241,0.35376,0.37128,0.43039,0.44505,3.6084,9.481281588828942
0.54333,0.56082,0.5964,0.60993,0.53454,0.55203,0.58761,0.60114,0.44215,0.45964,0.49522,0.50875,0.43539,0.45288,0.48846,0.50199,3.6211,2.9500673235255723
0.4229699999999999,0.4415699999999999,0.5224799999999999,0.5400499999999999,0.41394,0.43254,0.51345,0.53102,0.3753999999999999,0.3939999999999999,0.4749099999999999,0.49248,0.36529,0.38389,0.4648,0.48237,5.3592,1.880920437799891
