smiles,Reactivity
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.0
c1ccc2c(c1)c1ccccc1c1nccnc21,0.0
CC(=O)OCCC1=C(C)CCC2C(C)(C)CCCC12C,1.0
CCCCC1(O[Si](C)(C)C)C=CCC1,1.0
ON=C1c2ccccc2-c2ccccc21,0.0
CC(C)(C)c1ccccc1,0.0
Clc1nc(NCc2ccccc2)c2ccccc2n1,1.0
CCc1ccc(-c2ccc(Br)cc2)cc1,1.0
C=Cc1ccc2c(=C(C#N)C#N)c3ccccc3c(=C(C#N)C#N)c2c1,0.0
Nc1ccc(Cl)cc1C(=O)c1ccccc1Cl,0.0
C=CCCCCCC,1.0
C1=CCCC1,1.0
CCc1ccc(C(=O)Cc2ccccc2)cc1,1.0
O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)-c1ccccc1C5=O,0.0
O=C(O)C1(O)c2ccccc2-c2ccccc21,0.0
c1ccc(Nc2cc3ccccc3c3ccccc23)cc1,0.0
CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,1.0
N=C(c1ccccc1)c1ccccc1,0.0
CC(=O)Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,0.0
CCCCCCCCOCc1ccc(OC)cc1,1.0
O=C(O)c1ccc2c3ccc(C(=O)O)c4c(C(=O)O)ccc(c5ccc(C(=O)O)c1c25)c43,0.0
CCc1ccc(CC)cc1,1.0
O=C1c2ccccc2C(=O)c2cc3ccccc3cc21,0.0
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,0.0
CC(C)(O)C(=O)c1ccccc1,0.0
O=C(O)c1cc2cc(Br)ccc2[nH]1,0.0
CC(C)C1CCC2C(=O)CCC(C)C2(C)C1,1.0
COc1ccc(N)cc1,0.0
Brc1c2ccccc2cc2c1ccc1ccccc12,0.0
Nc1ccc(Br)nc1,0.0
c1cnc2c(c1)CCCC2,1.0
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,1.0
CC(C)(C)c1ccc2cc(C(C)(C)C)ccc2c1,0.0
C1CCC2=NCCCN2CC1,0.0
COc1ccc2c(c1)C(=O)CCC2,1.0
CCc1ccc(OC(C)=O)cc1,1.0
CC1(C)C2CC=C(CCN3C(=O)CCC3=O)C1C2,1.0
O=C(OC1CCC1)c1ccc(C(F)(F)F)cc1,0.0
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.0
C=C(C)C1CC=C(C)C(C)(O)C1,1.0
O=C1C=CC(=O)c2ccccc21,0.0
COc1cc2c(cc1OC)C(=O)CC2,1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,1.0
COC(=O)C12CCC(C)(C)CC1C1=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2,1.0
O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,0.0
Nc1cc2c(cc1O)C(=O)c1ccccc1C2=O,0.0
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.0
CC1=C2CC(C(C)(C)O[Si](C)(C)C)CCC2(C)CCC1,1.0
CC(C)OC(=O)N=NC(=O)OC(C)C,0.0
O=C(O)c1cccnc1,0.0
CCc1ccccc1OC,1.0
CCCCCc1cccs1,1.0
c1cnc2c(c1)CCC2,1.0
Clc1ncnc2nc[nH]c12,0.0
O=C(O)c1cccc2cccc(Br)c12,0.0
Nc1cc2ccccc2cc1N,0.0
COc1ccc(CCC(=O)OCCCc2ccccc2)cc1,1.0
N#Cc1c(C#N)c(O)c2ccccc2c1O,0.0
N#Cc1c(N)c2c(c(N)c1C#N)C(=O)c1ccccc1C2=O,0.0
COCc1ccccc1,1.0
CCCCc1ccc(Br)cc1,1.0
NC(CO)C(=O)O,0.0
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,1.0
CN(C)c1ccncc1,0.0
O=C(O)c1ccc(P(=O)(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1,0.0
CC1=CCCCC1,1.0
Nc1ccccc1C(F)(F)F,0.0
O=C(O)C(F)(F)c1ccccc1,0.0
CCc1cccc(C(C)(C)C)c1,1.0
c1ccc2c(c1)CCCC2,1.0
O=C(Cc1ccccc1)c1ccc(F)cc1,1.0
Oc1c(I)cc(Cl)c2cccnc12,0.0
CCCCCc1ccncc1,1.0
Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1,0.0
O=S(=O)(Oc1ccccc1Br)C(F)(F)F,0.0
C=CC[Si](C)(C)C,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,0.0
CC(C)(C)c1ccc(CCc2ccccc2)cc1,1.0
CCc1cccc(C(=O)OC)c1,1.0
Nc1ccc(Cl)cc1C(=O)c1ccccc1,0.0
O=C(CO)OCc1ccccc1,0.0
CC(=O)c1ccc(N)cc1,0.0
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)O,0.0
Cc1ccc(Br)cc1Cc1ccc(-c2ccc(F)cc2)s1,1.0
Cc1cc(C(=O)O)no1,0.0
CCc1ccc2c(c1)oc1ccccc12,1.0
CC12CCC3C(CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC43C)C1CCC2=O,1.0
CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC3OC4(CCC(C)CO4)C(C)C32)C1,1.0
CC(C)CCOCc1ccccc1,1.0
CCOC(=O)c1ccc(N)cc1,0.0
COC(=O)c1cccc(Br)c1C,0.0
O=C(O)c1ccccc1C(=O)c1ccc(F)cc1,0.0
Brc1ccc2[nH]ccc2c1,0.0
Brc1ccc2c(c1)CCCO2,1.0
CCCCN1Cc2ccccc2C1,1.0
O=C1c2cccc([N+](=O)[O-])c2C(=O)c2c1cccc2[N+](=O)[O-],0.0
CC(N)c1ccccc1,0.0
CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,1.0
C#Cc1cc(C#C)c2ccc3c(C#C)cc(C#C)c4ccc1c2c43,0.0
O=N[O-].[Na+],0.0
COc1cccc(C)c1C,1.0
O=[N+]([O-])c1ccc(F)nc1,0.0
CCCCCCc1ccccc1,1.0
O=C1c2ccccc2-c2ccc(Br)c3cccc1c23,0.0
C#Cc1ccc2ccc3cccc4ccc1c2c34,0.0
O=C(O)c1cc(=O)c2ccccc2[nH]1,0.0
CCOc1ccc(O)cc1,0.0
CCCCCOC(=O)C1CCCCC1,1.0
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,1.0
